sitename,longname,country, Years Of Data,AG_NPP,ASA,CLIMATE,,,DEP_N,,,ELEV,FOL_N,HEIGHTC,IGBP,LAI,LAI_U,LAT,LMA,LONG,MaxSA,MinSA,PRECIP,TA,,,YEAR_PLANTED,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,CLAY_PERC,SAND_PERC,SILT_PERC,SOIL_BD,SOIL_C,,SOIL_PH,,,SOIL_TEXTURE,SOIL_THICKNESS,SOIL_BD,SOIL_C,,SOIL_PH,,SOIL_THICKNESS,AG_BIOMASS,SOIL_C,,SOIL_DEPTH,SOIL_TYPE,SOIL_WATER_CAP
,,,Site Years in Synthesis Dataset,Aboveground net primary productivity,Average stand age,Climate group,Climate Koeppen classification,,Foliage nitrogen deposition (dry),Foliage nitrogen deposition (total),Foliage nitrogen deposition (wet),Elevation (text),Foliage nitrogen concentration,Canopy height (text),IGBP Class,Leaf Area Index,Understory Leaf Area Index,Latitude,Leaf mass per unit leaf area,Longitude,Maximum stand age,Minimum stand years,Precipitation (local climate),Air Temperature (avg local climate),Air Temperature (max local climate),Air Temperature (min local climate),Year replanted,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Clay content,Sand content,Silt content,Soil bulk density,Soil Carbon stock,Soil Carbon stock (%),Soil PH (CaCl2),Soil PH (H2O),Soil PH (KCl),Soil texture,Soil horizon or layer thickness,Soil bulk density,Soil Carbon stock,Soil Carbon stock (mg g-1),Soil PH (CaCl2),Soil PH (H2O),Soil horizon or layer thickness,Aboveground biomass,Soil Carbon stock,Soil Carbon stock (%),Soil depth,Soil type,Soil water holding capacity
,,,(none),(none),(none),_group,_KOEPPEN_406,,_dry,_total,_wet,(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),(none),_locclim,_avg_locclim,_max_locclim,_min_locclim,(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),(none),(none),(none),_PERC,_CaCl2,_H2O,_KCL,(none),(none),(none),(none),_mg_g-1,_CaCl2,_H2O,(none),(none),(none),_PERC,(none),(none),(none)
CA-SJ1,Sask.- 1994 Harv. Jack Pine,Canada,5,1.200,12,Boreal,Dfc,,,,,580,,,ENF,0.8,,53.908,,-104.656,,,430.23,0.13,6.23,-5.89,1995,sandy,sandy,sandy,,,,,,,sandy,,sandy,sandy,sandy,,,,,,,sandy,,,,,,,,0.338,1.397,,, Brunisols,
CA-SJ2,Sask.- 2002 Harvested Jack Pine,Canada,3,,5,Boreal,Dfc,,,,,580,,,ENF,0.2-0.5,,53.945,,-104.649,,,430.03,0.11,6.2,-5.9,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,1.747,,,,
CA-SJ3,Sask.- SSA 1975 Harv. Yng Jack Pine,Canada,2,,31,Boreal,Dfc,,,,,,,,ENF,2.9,,53.8758,,-104.645,,,433.33,0.13,6.24,-5.88,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2-0.3,4.24,,,,,
CA-TP1,Ontario- Turkey Point Seedling White Pine,Canada,2,0.083,5,Temperate-Continental with hot or warm summers,Dfb,,,7,,265,21.3667,,ENF,1,None,42.6609,20.08,-80.5595,,,907.98,8.57,12.93,4.29,2002,0,100,0,1.44,1.74,,6.3,,,,0.427,0,100,0,1.49,1.96,,6.1,,,,,N.a.,0.0828,,N.a.,,0.005,0.46,3.72,,3,brunisolic grey brown luvisol,N.a.
CA-TP2,Ontario- Turkey Point Young White Pine,Canada,3,0.841,18,Temperate-Continental with hot or warm summers,Dfb,,,7,,212,13.3833,,ENF,12.8,None,42.7744,87.27,-80.4588,,,886.15,8.55,12.79,4.38,1989,0,100,0,1.45,1.85,,4.4,,,,0.261,0,100,0,1.54,1.55,,5.3,,,,,0.11,0.7451,,N.a.,,0.029,6.6003,3.4,,3,brunisolic grey brown luvisol,N.a.
CA-TP3,Ontario- Turkey Point Middle-aged White Pine,Canada,3,0.572,33,Temperate-Continental with hot or warm summers,Dfb,,,7,,184,11.3,,ENF,5.9,None,42.7068,46.01,-80.3483,,,937.05,8.74,12.87,4.57,1974,0,100,0,0.92,1.42,,3.8,,,,0.033,0,100,0,1.35,1.58,,4.5,,,,,0.13,0.5449,,N.a.,,0.02,9.254,3,,3,brunisolic grey brown luvisol,N.a.
CA-TP4,Ontario- Turkey Point Mature White Pine,Canada,3,0.425,68,Temperate-Continental with hot or warm summers,Dfb,,,7,,184,13.85,,ENF,8,,42.7098,28.55,-80.3574,,,935.85,8.74,12.86,4.57,1939,0,100,0,1.35,1.95,,4.1,,,,0.17,0,100,0,1.31,1.75,,4.5,,,,,0.29,1.2109,,,,0.026,17.651,3.7,,3,brunisolic grey brown luvisol,
CA-WP1,Western Peatland- LaBiche-Black Spruce/Larch Fen,Canada,3,,48-136,Boreal,Dfc,,,,,540,13.2778,,MF,2.61,1.3,54.9538,111.524,-112.467,136,48,461.07,1.1,7.09,-5,1870-1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,
CA-WP2,Poor Fen,Canada,1,,,Boreal,Dfc,,,,,,7.8,,WET,1.52,,55.5375,,-112.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2309,,,,,
CA-WP3,Rich Fen,Canada,1,,,Boreal,Dfc,,,,,,19.3,,WET,1.09,,54.47,,-113.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1571,,,2.25,,
