Site_ID,Name,Country,Latitude,Longitude,Elevation,IGBP_class,Climate_class,Climate_group
FR-Hes,Hesse Forest- Sarrebourg,France,48.67419815,7.064620018,300,DBF,Cfb,Temperate
FR-Lam,Lamasquere,France,43.49330139,1.237220049,-999.9,CRO,Cfb,Temperate
FR-LBr,Le Bray (after 6/28/1998),France,44.71709824,-0.769299984,61,ENF,Cfb,Temperate
FR-Lq1,Laqueuille,France,45.64410019,2.737030029,1040,GRA,Cfb,Temperate
FR-Lq2,Laqueuille extensive,France,45.6391983,2.737030029,1040,GRA,Cfb,Temperate
FR-Lus,Lusignan,France,46.43330002,-0.466670007,-999.9,GRA,Cfb,Temperate
FR-Pue,Puechabon,France,43.74140167,3.595829964,270,EBF,Csa,SubTropical-Mediterranean
GF-Guy,Guyaflux,French Guyana,5.277699947,-52.92879868,35,EBF,Af,Tropical
GR-Mog,Mogostos Forest,Greece,38,22.61669922,840,DBF,Csa,SubTropical-Mediterranean
HU-Bug,Bugacpuszta,Hungary,46.69110107,19.60129929,140,GRA,Cfb,Temperate
HU-He1,Hegyhatsal,Hungary,46.95569229,16.65173531,248,CRO,Cfb,Temperate
HU-He2,Hegyhatsal Tower 2,Hungary,46.95500946,16.6525631,-999.9,GRA,Cfb,Temperate
HU-Mat,Matra,Hungary,47.84690094,19.72599983,350,GRA,Cfb,Temperate
ID-Buk,Bukit Soeharto- East Kalimantan (BKS),Indonesia,-0.833329976,117.0500031,20,EBF,Af,Tropical
ID-Pag,Palangkaraya (PDF),Indonesia,2.345000029,114.0360031,30,EBF,Af,Tropical
IE-Ca1,Carlow1,Ireland,52.85879898,-6.918139935,50,CRO,Cfb,Temperate
IE-Ca2,Carlow2,Ireland,55.85879898,-6.918139935,58.832,GRA,Cfb,Temperate
IE-CLa,Co.Laois,Ireland,52.95000076,-7.25,-999.9,ENF,Cfb,Temperate
IE-Dri,Dripsey,Ireland,51.98669815,-8.751810074,187,GRA,Cfb,Temperate
IE-Kil,Killorglin,Ireland,51.96839905,-9.900309563,150,GRA,Cfb,Temperate
IE-Wex,Wexford,Ireland,52.2981987,-6.499780178,70,GRA,Cfb,Temperate
IL-Yat,Yatir,Israel,31.34499931,35.05149841,650,ENF,BSh,Dry (arid and semi arid)
IS-Gun,Gunnarsholt,Iceland,63.83330154,-20.2166996,78,DBF,Cfc,Temperate
IT-Amp,Amplero,Italy,41.90409851,13.60519981,884.231,GRA,Cfa,SubTropical-Mediterranean
IT-BCi,Borgo Cioffi,Italy,40.5237999,14.95740032,20,CRO,Csa,SubTropical-Mediterranean
IT-Be1,Beano 1,Italy,46.00360107,13.02750015,-999.9,CRO,Cfb,Temperate
IT-Be2,Beano 2,Italy,46.00310135,13.02569962,-999.9,GRA,Cfb,Temperate
IT-Bon,Bonis,Italy,39.47779846,16.53470039,1170,ENF,Csa,SubTropical-Mediterranean
IT-Cas,Castellaro,Italy,45.06284714,8.668539047,-999.9,CRO,Cfa,SubTropical-Mediterranean
IT-Col,Collelongo- Selva Piana,Italy,41.84939957,13.58810043,1550,DBF,Cfa,SubTropical-Mediterranean
IT-Cpz,Castelporziano,Italy,41.7052002,12.37609959,68.253,EBF,Csa,SubTropical-Mediterranean
IT-Lav,Lavarone (after 3/2002),Italy,45.95529938,11.28120041,1353,ENF,Cfb,Temperate
IT-Lec,Lecceto,Italy,43.30459976,11.27060032,314,EBF,Cfa,SubTropical-Mediterranean
IT-LMa,La Mandria,Italy,45.58129883,7.154630184,350,GRA,Cfb,Temperate
IT-Mal,Malga Arpaco,Italy,46.11669922,11.7027998,1730,GRA,Cfb,Temperate
IT-MBo,Monte Bondone,Italy,46.0155983,11.04669952,1550,GRA,Cfb,Temperate
IT-Neg,Negrisia - Ponte di Piave,Italy,45.74760056,12.4467001,9,CRO, TBD, TBD
IT-Noe,Sardinia/Arca di No´è_,Italy,40.60599899,8.151000023,28,CSH,Csa,SubTropical-Mediterranean
IT-Non,Nonantola,Italy,44.68980026,11.08870029,25,DBF,Cfa,SubTropical-Mediterranean
IT-Pia,Island of Pianosa,Italy,42.58390045,10.07839966,18,OSH,Csa,SubTropical-Mediterranean
IT-PT1,Zerbolo-Parco Ticino- Canarazzo,Italy,45.20090103,9.061039925,60,DBF,Cfa,SubTropical-Mediterranean
IT-Ren,Renon/Ritten (Bolzano),Italy,46.58779907,11.43470001,1730,ENF,Dfb,Temperate
IT-Ro1,Roccarespampani 1,Italy,42.40810013,11.93000031,234.771,DBF,Csa,SubTropical-Mediterranean
IT-Ro2,Roccarespampani 2,Italy,42.39030075,11.92090034,223.903,DBF,Csa,SubTropical-Mediterranean
IT-Ro3,Roccarespampani 3,Italy, TBD, TBD,-999.9,CRO, TBD, TBD
IT-Ro4,Roccarespampani 4,Italy, TBD, TBD,-999.9,CRO, TBD, TBD
IT-SRo,San Rossore,Italy,43.7278595,10.28444004,4,ENF,Csa,SubTropical-Mediterranean
IT-Tol,Tolfa,Italy,42.18970108,11.92210007,473.615,CSH,Csa,SubTropical-Mediterranean
IT-Vda,Valle dell'Adige,Italy,46.19686127,11.11338997,-999.9,CRO, TBD, TBD
IT-Vig,Vigevano,Italy,45.31666565,8.850000381,-999.9,DBF,Cfa,SubTropical-Mediterranean
JP-Aka,Akanuma- Kushiro Mire (KST),Japan,43.11669922,144.3670044,-999.9, TBD,Dfb,Temperate-Continental with hot or warm summers
JP-App,Appi Forest Meteorology (API),Japan,40,141.5670013,825,DBF,Cfb,Temperate
JP-Fuj,Fujiyoshida Forest Met. Research Site (FJY),Japan,35.45140076,138.7649994,1030,ENF,Cfa,SubTropical-Mediterranean
JP-Hac,Hachihama Observatory (HCH),Japan,34.53329849,133.9329987,1,CRO,Cfa,SubTropical-Mediterranean
JP-Hit,Sapporo Forest Meteorology Research Site (SAP),Japan,42.98680115,141.3849945,180,DBF,Dfb,Temperate-Continental with hot or warm summers
JP-Hok,IGBP Tower Site- Hokkaido (TOE),Japan,42.59999847,141.6000061,-999.9,DNF,Dfb,Temperate-Continental with hot or warm summers
JP-Kah,Kahoku experimental watershed (KHW),Japan,33.13370132,130.7120056,165,MF,Cfa,SubTropical-Mediterranean
JP-Kwa,Kawagoe Forest Met. Research Site (KWG),Japan,35.86930084,139.4902954,26,DBF,Cfa,SubTropical-Mediterranean
JP-Mas,"Mase paddy flux site, Tsukuba, Japan (MSE)",Japan,36.05397034,140.0269165,12,CRO,Cfa,SubTropical-Mediterranean
JP-Shi,Shionomisaki Laboratory,Japan,33.44279861,135.7590027,50,GRA,Cfa,SubTropical-Mediterranean
JP-Tak,Takayama,Japan,36.14619827,137.4230042,1420,DBF,Dfb,Temperate-Continental with hot or warm summers
JP-Tef,Teshio Experimental Forest (TSE),Japan,45.05633926,142.1062012,70,MF,Dfb,Temperate-Continental with hot or warm summers
JP-Tom,Tomakomai National Forest,Japan,42.73949814,141.5148926,140,MF,Dfb,Temperate-Continental with hot or warm summers
KR-Har,Hari Rural Rice Paddy (HRK),Korea,37.06669998,126.0329971,-999.9,CRO,Cwa,SubTropical-Mediterranean
KR-Hnm,Haenam (HFK),Korea,34.54999924,126.5699997,-999.9,CRO,Cfa,SubTropical-Mediterranean
KR-Kw1,Gwangneung Coniferous Forest (GCK),Korea,37.74860001,127.163002,330,MF,Dwa,Temperate-Continental with hot or warm summers
KR-Kw2,Kwangnung Deciduous Forest (GDK),Korea,37.73329926,127.1500015,-999.9,DBF,Dwa,Temperate-Continental with hot or warm summers
KR-Suw,Suwon Suburban Rice Paddy,Korea,37.26950073,126.9400024,-999.9,CRO,Cwa,SubTropical-Mediterranean
KZ-AL1,Shortandy AL1,Kazakhstan,51.5135994,71.46279907,363, TBD,BSk,Dry (arid and semi arid)
KZ-AL2,Shortandy AL2,Kazakhstan,51.48360062,71.10469818,418, TBD,Dfb,Temperate-Continental with hot or warm summers
KZ-AL3,Shortandy AL3,Kazakhstan,51.58720016,71.00080109,395, TBD,BSk,Dry (arid and semi arid)
KZ-AL4,Shortandy AL4,Kazakhstan,51.68149948,71.14369965,385, TBD,BSk,Dry (arid and semi arid)
KZ-CW1,Shortandy CW1,Kazakhstan,51.52750015,71.48280334,365, TBD,BSk,Dry (arid and semi arid)
KZ-CW2,Shortandy CW2,Kazakhstan,51.48080063,71.11399841,405, TBD,Dfb,Temperate-Continental with hot or warm summers
