Site_ID,Latitude,Longitude,Elevation
US-Blo,38.89519882,-120.6327515,1315
US-Bn1,63.9197998,-145.378006,518
US-Bn2,63.9197998,-145.378006,410
US-Bn3,63.92269897,-145.7440033,469
US-Bo1,40.00619888,-88.29039764,219
US-Bo2,40.00899887,-88.29000092,219
US-Br1,41.69150162,-93.69139862,313
US-Br2,41.97570038,-93.69249725,314
US-Br3,41.97470093,-93.69360352,313
US-Brw,71.32250214,-156.6259003,1
US-CaV,39.06330109,-79.42079926,994
US-Ced,39.83789825,-74.37909698,-999.9
US-ChR,35.93109894,-84.33239746,-999.9
US-Co1,40.72510147,-104.3010025,-999.9
US-Co2,40.73450089,-104.3010025,-999.9
US-Co3,40.729599,-104.3010025,-999.9
US-Cop, TBD, TBD,-999.9
US-Ctn, TBD, TBD,-999.9
US-Cub,39.41249847,-76.52079773,146
US-Cyp,29.77039909,-82.20809937,50
US-Dix,39.97119904,-74.43460083,-999.9
US-Dk1,35.97119904,-79.09339905,168
US-Dk2,35.97359848,-79.10040283,168
US-Dk3,35.97819901,-79.09420013,163
US-Elm,25.55190086,-80.7826004,0.77
US-Esm,25.43790054,-80.59459686,1.07
US-Fmf,35.14260101,-111.7273026,2160
US-FPe,48.30770111,-105.1018982,634
US-FR1,29.93000031,-98.01000214,-999.9
US-FR2,29.94949913,-97.99620056,271.9
US-FR3,29.94000053,-97.98999786,-999.9
US-Fuf,35.0890007,-111.762001,2180
US-Fwf,35.44540024,-111.7717972,2270
US-GLE,41.36439896,-106.2394028,3190
US-GMF,41.96670151,-73.23329926,380
US-Goo,34.25469971,-89.87349701,87
US-Ha1,42.53779984,-72.17150116,340
US-Ha2,42.53929901,-72.17790222,360
US-Ho1,45.20410156,-68.74019623,60
US-Ho2,45.20909882,-68.74700165,91
US-Ho3,45.2071991,-68.72499847,-999.9
US-HVa,69.13330078,-148.8329926,349
US-IB1,41.85929871,-88.22270203,226.5
US-IB2,41.84059906,-88.24099731,226.5
US-Ivo,68.4865036,-155.75,-999.9
US-Jas,37.40209961,-122.2210007,207
US-Jss,30.17550087,-97.87779999,-999.9
US-KBS,42.41009903,-85.3757019,288
US-KCM, TBD, TBD,-999.9
US-Kon,39.08240128,-96.56030273,440
US-KS1,28.45829964,-80.67089844,-999.9
US-KS2,28.60860062,-80.67150116,3
US-KUO,44.99829865,-93.18859863,301
US-Ldg,46.95220184,-110.8850021,-999.9
US-Los,46.08269882,-89.97920227,480
US-LPH,42.54190063,-72.18499756,377.5
US-LSM,31.56579971,-110.1340027,-999.9
US-LWW,34.96039963,-97.97889709,-999.9
US-Man,39.45999908,-96.75700378,-999.9
US-Me1,44.57939911,-121.5,896
US-Me2,44.45230103,-121.5574036,1253
US-Me3,44.31539917,-121.6078033,1005
US-Me4,44.49919891,-121.6223984,922
US-Me5,44.43719864,-121.5670013,1188
US-Me6, TBD, TBD,-999.9
US-MMS,39.32310104,-86.4131012,275
US-MOz,38.74409866,-92.19999695,219.4
US-Mpj, TBD, TBD,-999.9
US-MRf,44.64649963,-123.5510025,-999.9
US-MtB,32.41669846,-110.7259979,-999.9
US-NC1,35.81150055,-76.71150208,5
US-NC2,35.80310059,-76.66790009,12
US-Ne1,41.1651001,-96.47660065,361
US-Ne2,41.16490173,-96.4701004,362
US-Ne3,41.17969894,-96.43969727,363
US-NMj,46.64649963,-88.51940155,-999.9
US-NPn,42.31290054,-106.5569992,2198
US-NR1,40.03290176,-105.5459976,3050
US-NR2,40.03250122,-105.5469971,3030
US-NSP,41.55789948,-93.29620361,277
US-Oho,41.55450058,-83.84380341,230
US-PFa,45.94589996,-90.27230072,470
US-Pon,36.76670074,-97.13330078,310
US-Ra1,39.13899994,-96.52300262,-999.9
US-Ra2,39.14049911,-96.52709961,-999.9
US-Rip,46.94540024,-110.887001,-999.9
US-Ro1,44.71429825,-93.08979797,-999.9
US-Ro2,44.72880173,-93.08879852,-999.9
US-Ro3,44.72169876,-93.08930206,-999.9
US-Ru1,40.25930023,-112.4779968,1650
US-Ru2,40.28279877,-112.4720001,1650
US-Ru3,40.28300095,-112.4629974,1650
US-SAz, TBD, TBD,-999.9
US-SCc, TBD, TBD,-999.9
US-SCd, TBD, TBD,-999.9
US-SCf, TBD, TBD,-999.9
US-SCg, TBD, TBD,-999.9
US-SCs, TBD, TBD,-999.9
US-SCw, TBD, TBD,-999.9
US-SDU,39.65940094,-105.0130005,5298
US-Seg, TBD, TBD,-999.9
US-Ses, TBD, TBD,-999.9
US-SFP, TBD, TBD,-999.9
US-Shd,36.93330002,-96.6832962,-999.9
US-SJ1, TBD, TBD,-999.9
US-SJ2, TBD, TBD,-999.9
US-Skr,25.36459923,-81.07800293,0
US-Slt,39.91379929,-74.59600067,-999.9
US-Smt,38.88999939,-76.55989838,11
US-Snd,38.03730011,-121.7539978,-999.9
US-SO2,33.37390137,-116.6228867,1394
US-SO3,33.37720108,-116.6226883,1429
US-SO4,33.38439941,-116.6402512,1429
US-SP1,29.73810005,-82.21880341,50
US-SP2,29.76479912,-82.24479675,50
US-SP3,29.7548008,-82.16329956,50
US-SP4,29.80279922,-82.20310211,-999.9
US-SRC,31.9083004,-110.8395004,991
US-SRM,31.82139969,-110.8659973,1120
US-Syv,46.24200058,-89.34770203,540
US-Ton,38.43159866,-120.9660034,177
US-UMB,45.55979919,-84.71379852,234
US-Upa,70.28150177,-148.8849945,5
US-Var,38.41329956,-120.9507294,129
US-Vca,35.87549973,-106.4769974,-999.9
US-Vcm, TBD, TBD,-999.9
US-Vcp, TBD, TBD,-999.9
US-WBW,35.95880127,-84.28739929,283
US-WCr,45.80590057,-90.07990265,520
US-Whs,31.74379921,-110.052002,-999.9
US-Wi0,46.61880112,-91.08139801,-999.9
US-Wi1,46.73049927,-91.23290253,-999.9
US-Wi2,46.68690109,-91.15280151,-999.9
US-Wi3,46.63470078,-91.09870148,-999.9
US-Wi4,46.73929977,-91.16629791,-999.9
US-Wi5,46.65309906,-91.08580017,-999.9
US-Wi6,46.62490082,-91.29820251,-999.9
US-Wi7,46.64910126,-91.06929779,-999.9
US-Wi8,46.72230148,-91.25240326,-999.9
US-Wi9,46.61880112,-91.08139801,-999.9
US-Wjs, TBD, TBD,-999.9
US-Wkg,31.73649979,-109.9420013,1531
US-Wlr,37.52080154,-96.85500336,408
US-Wrc,45.82049942,-121.9520035,371
VE-Gan,8.900110245,-68.15090179,-999.9
VU-Coc,-15.44270039,167.1920013,80
ZA-Kru,-25.0196991,31.49690056,365
ZM-Mkt, TBD, TBD,-999.9
ZM-Mon,-15.43889999,23.25259972,1013
