Missing elevation data gap-filled from gtopo30 1km data
using get_missing_elevation_from_gtopo30.py
Site_ID,Latitude,Longitude,Elevation
US-Jss,30.17550087,-97.87779999,246.000000
US-KBS,42.41009903,-85.3757019,288.000000
US-KCM,-999.9,-999.9,-999.900000
US-Kon,39.08240128,-96.56030273,440.000000
US-KS1,28.45829964,-80.67089844,1.000000
US-KS2,28.60860062,-80.67150116,3.000000
US-KUO,44.99829865,-93.18859863,301.000000
US-Ldg,46.95220184,-110.8850021,2270.000000
US-Los,46.08269882,-89.97920227,480.000000
US-LPH,42.54190063,-72.18499756,377.500000
US-LSM,31.56579971,-110.1340027,1232.000000
US-LWW,34.96039963,-97.97889709,365.000000
US-Man,39.45999908,-96.75700378,349.000000
US-Me1,44.57939911,-121.5,896.000000
US-Me2,44.45230103,-121.5574036,1253.000000
US-Me3,44.31539917,-121.6078033,1005.000000
US-Me4,44.49919891,-121.6223984,922.000000
US-Me5,44.43719864,-121.5670013,1188.000000
US-Me6,-999.9,-999.9,-999.900000
US-MMS,39.32310104,-86.4131012,275.000000
US-MOz,38.74409866,-92.19999695,219.400000
US-Mpj,-999.9,-999.9,-999.900000
US-MRf,44.64649963,-123.5510025,252.000000
US-MtB,32.41669846,-110.7259979,2414.000000
US-NC1,35.81150055,-76.71150208,5.000000
US-NC2,35.80310059,-76.66790009,12.000000
US-Ne1,41.1651001,-96.47660065,361.000000
US-Ne2,41.16490173,-96.4701004,362.000000
US-Ne3,41.17969894,-96.43969727,363.000000
US-NMj,46.64649963,-88.51940155,394.000000
US-NPn,42.31290054,-106.5569992,2198.000000
US-NR1,40.03290176,-105.5459976,3050.000000
US-NR2,40.03250122,-105.5469971,3030.000000
US-NSP,41.55789948,-93.29620361,277.000000
US-Oho,41.55450058,-83.84380341,230.000000
US-PFa,45.94589996,-90.27230072,470.000000
US-Pon,36.76670074,-97.13330078,310.000000
US-Ra1,39.13899994,-96.52300262,409.000000
US-Ra2,39.14049911,-96.52709961,403.000000
US-Rip,46.94540024,-110.887001,2195.000000
US-Ro1,44.71429825,-93.08979797,296.000000
US-Ro2,44.72880173,-93.08879852,290.000000
US-Ro3,44.72169876,-93.08930206,295.000000
US-Ru1,40.25930023,-112.4779968,1650.000000
US-Ru2,40.28279877,-112.4720001,1650.000000
US-Ru3,40.28300095,-112.4629974,1650.000000
US-SAz,-999.9,-999.9,-999.900000
US-SCc,-999.9,-999.9,-999.900000
US-SCd,-999.9,-999.9,-999.900000
US-SCf,-999.9,-999.9,-999.900000
US-SCg,-999.9,-999.9,-999.900000
US-SCs,-999.9,-999.9,-999.900000
US-SCw,-999.9,-999.9,-999.900000
US-SDU,39.65940094,-105.0130005,5298.000000
US-Seg,-999.9,-999.9,-999.900000
US-Ses,-999.9,-999.9,-999.900000
US-SFP,-999.9,-999.9,-999.900000
US-Shd,36.93330002,-96.6832962,363.000000
US-SJ1,-999.9,-999.9,-999.900000
US-SJ2,-999.9,-999.9,-999.900000
US-Skr,25.36459923,-81.07800293,0.000000
US-Slt,39.91379929,-74.59600067,32.000000
US-Smt,38.88999939,-76.55989838,11.000000
US-Snd,38.03730011,-121.7539978,-2.000000
US-SO2,33.37390137,-116.6228867,1394.000000
US-SO3,33.37720108,-116.6226883,1429.000000
US-SO4,33.38439941,-116.6402512,1429.000000
US-SP1,29.73810005,-82.21880341,50.000000
US-SP2,29.76479912,-82.24479675,50.000000
US-SP3,29.7548008,-82.16329956,50.000000
US-SP4,29.80279922,-82.20310211,47.000000
US-SRC,31.9083004,-110.8395004,991.000000
US-SRM,31.82139969,-110.8659973,1120.000000
US-Syv,46.24200058,-89.34770203,540.000000
US-Ton,38.43159866,-120.9660034,177.000000
US-UMB,45.55979919,-84.71379852,234.000000
US-Upa,70.28150177,-148.8849945,5.000000
US-Var,38.41329956,-120.9507294,129.000000
US-Vca,35.87549973,-106.4769974,2615.000000
US-Vcm,-999.9,-999.9,-999.900000
US-Vcp,-999.9,-999.9,-999.900000
US-WBW,35.95880127,-84.28739929,283.000000
US-WCr,45.80590057,-90.07990265,520.000000
US-Whs,31.74379921,-110.052002,1371.000000
US-Wi0,46.61880112,-91.08139801,349.000000
US-Wi1,46.73049927,-91.23290253,320.000000
US-Wi2,46.68690109,-91.15280151,395.000000
US-Wi3,46.63470078,-91.09870148,363.000000
US-Wi4,46.73929977,-91.16629791,352.000000
US-Wi5,46.65309906,-91.08580017,353.000000
US-Wi6,46.62490082,-91.29820251,371.000000
US-Wi7,46.64910126,-91.06929779,340.000000
US-Wi8,46.72230148,-91.25240326,396.000000
US-Wi9,46.61880112,-91.08139801,349.000000
US-Wjs,-999.9,-999.9,-999.900000
US-Wkg,31.73649979,-109.9420013,1531.000000
US-Wlr,37.52080154,-96.85500336,408.000000
US-Wrc,45.82049942,-121.9520035,371.000000
VE-Gan,8.900110245,-68.15090179,154.000000
VU-Coc,-15.44270039,167.1920013,80.000000
ZA-Kru,-25.0196991,31.49690056,365.000000
ZM-Mkt,-999.9,-999.9,-999.900000
ZM-Mon,-15.43889999,23.25259972,1013.000000
